WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Antofagasta,CL,-23.65,-70.4,67.28,80,99,2.39,overcast clouds
114,Acapulco,MX,16.8634,-99.8901,78.62,78,20,4.61,few clouds
115,Portland,US,45.5234,-122.6762,35.62,49,0,5.99,clear sky
116,Codrington,AU,-38.2667,141.9667,68.23,51,45,10.6,scattered clouds
117,Boende,CD,-0.2167,20.8667,68.97,86,57,2.24,broken clouds
118,Iqaluit,CA,63.7506,-68.5145,-31.27,75,0,0.0,clear sky
119,Sinegorye,RU,62.0788,150.477,-8.01,96,100,3.22,overcast clouds
120,Micheweni,TZ,-4.9667,39.8333,79.27,74,96,7.56,overcast clouds
121,San Cristobal,VE,7.7669,-72.225,68.18,90,31,2.75,scattered clouds
122,Hami,CN,42.8,93.45,24.6,26,96,3.27,overcast clouds
